W,L,yearID,nameGiven,NameLast,teamID
95,67,2016,Jeffery Todd,Banister,TEX
95,67,2016,Johnnie B.,Baker,WAS
94,58,1899,William Joseph,Shettsline,PHI
94,59,1914,George Tweedy,Stallings,BSN
94,59,1921,John Joseph,McGraw,NY1
94,59,1931,Joseph Vincent,McCarthy,NYA
94,60,1916,Wilbert,Robinson,BRO
94,60,1921,Tristram E.,Speaker,CLE
94,60,1922,Miller James,Huggins,NYA
94,60,1927,Owen Joseph,Bush,PIT
94,60,1930,Walter Perry,Johnson,WS1
94,60,1932,Cornelius Alexander,Mack,PHA
94,60,1934,Joseph Vincent,McCarthy,NYA
94,60,1948,Stanley Raymond,Harris,NYA
94,60,1959,Alfonso Ramon,Lopez,CHA
94,67,1988,Thomas Charles,Lasorda,LAN
94,67,2002,Ronald Clyde,Gardenhire,MIN
94,67,2016,Terry Jon,Francona,CLE
94,68,1963,Alfonso Ramon,Lopez,CHA
94,68,1965,Henry Albert,Bauer,BAL
94,68,1973,Richard Hirschfeld,Williams,OAK
94,68,1982,Earl Sidney,Weaver,BAL
94,68,1990,Jeffrey Allen,Torborg,CHA
94,68,1991,Robert Joe,Cox,ATL
94,68,1993,Gene William,Lamont,CHA
94,68,1993,Felipe Rojas,Alou,MON
94,68,1999,James Francis,Williams,BOS
94,68,2000,Robert John,Valentine,NYN
94,68,2007,Michael Lorri,Scioscia,LAA
94,68,2007,Joseph Paul,Torre,NYA
94,68,2010,Ronald Clyde,Gardenhire,MIN
94,68,2011,Kirk Harold,Gibson,ARI
94,68,2012,Fredi Jesus,Gonzalez,ATL
94,68,2012,Robert Paul,Melvin,OAK
94,68,2012,Bruce Douglas,Bochy,SFN
94,68,2013,Clinton Merrick,Hurdle,PIT
94,68,2014,Donald Arthur,Mattingly,LAN
93,56,1892,Oliver Wendell,Tebeau,CL4
93,58,1906,Fielder Allison,Jones,CHA
93,58,1912,Fred Clifford,Clarke,PIT
93,58,1935,Gordon Stanley,Cochrane,DET
